user_id,session_id,timestamp,action_type,product_id,cat_level_1,price_bucket,seller_id
2,2_0,2025-12-15 17:22:00,View,7570,kids' fashion,1,1
2,2_0,2025-12-15 17:22:28,Click,7570,kids' fashion,1,1
2,2_0,2025-12-15 17:23:46,AddCart,7570,kids' fashion,1,1
2,2_1,2025-12-17 22:00:07,View,6370,industrial supplies,1,1
2,2_1,2025-12-17 22:00:48,Click,8871,industrial supplies,0,1
2,2_1,2025-12-17 22:01:51,AddCart,1158,kids' fashion,2,1
2,2_2,2025-12-18 12:21:23,View,7527,kids' fashion,1,1
2,2_2,2025-12-18 12:22:03,View,6030,kids' fashion,0,1
2,2_2,2025-12-18 12:22:24,Click,6030,kids' fashion,0,1
2,2_2,2025-12-18 12:23:30,View,6427,industrial supplies,1,1
2,2_2,2025-12-18 12:23:48,View,5511,industrial supplies,0,1
2,2_2,2025-12-18 12:24:38,View,5745,kids' fashion,1,1
2,2_2,2025-12-18 12:25:06,View,5962,kids' fashion,1,1
2,2_3,2025-12-20 09:23:48,Search,6002,kids' fashion,1,1
2,2_3,2025-12-20 09:24:16,View,5883,kids' fashion,0,1
2,2_3,2025-12-20 09:24:27,Wishlist,2197,car & motorbike,1,1
2,2_3,2025-12-20 09:25:03,View,6377,industrial supplies,1,1
2,2_3,2025-12-20 09:25:29,View,8900,industrial supplies,1,1
2,2_4,2025-12-20 15:23:40,View,5935,kids' fashion,1,1
2,2_5,2025-12-21 12:35:07,View,6360,industrial supplies,2,1
2,2_5,2025-12-21 12:35:31,Click,5904,kids' fashion,0,1
2,2_5,2025-12-21 12:36:31,Buy,5904,kids' fashion,0,1
2,2_6,2025-12-22 12:01:18,View,6331,industrial supplies,2,1
2,2_6,2025-12-22 12:01:44,View,8911,industrial supplies,2,1
2,2_6,2025-12-22 12:02:29,Click,8911,industrial supplies,2,1
2,2_6,2025-12-22 12:03:24,AddCart,8911,industrial supplies,2,1
2,2_6,2025-12-22 12:04:24,View,7537,kids' fashion,0,1
2,2_7,2025-12-22 20:47:52,View,5909,kids' fashion,1,1
2,2_7,2025-12-22 20:48:17,AddCart,5909,kids' fashion,1,1
2,2_8,2025-12-23 22:57:53,View,6417,industrial supplies,2,1
2,2_8,2025-12-23 22:58:21,Click,3562,accessories,1,1
2,2_8,2025-12-23 22:59:29,AddCart,3562,accessories,1,1
2,2_8,2025-12-23 23:00:44,View,586,grocery & gourmet foods,1,1
2,2_8,2025-12-23 23:01:05,AddCart,5782,kids' fashion,2,1
2,2_9,2025-12-24 10:19:29,Search,8905,industrial supplies,2,1
3,3_0,2025-12-16 20:45:00,View,3529,accessories,1,1
3,3_0,2025-12-16 20:45:40,Click,2572,sports & fitness,3,1
3,3_0,2025-12-16 20:46:28,AddCart,2572,sports & fitness,3,1
3,3_0,2025-12-16 20:47:09,View,2242,car & motorbike,2,1
3,3_0,2025-12-16 20:47:54,View,5702,accessories,3,1
3,3_0,2025-12-16 20:48:51,AddCart,5702,accessories,3,1
3,3_1,2025-12-17 22:05:27,Search,2208,car & motorbike,1,1
3,3_1,2025-12-17 22:06:52,Search,5702,accessories,3,1
3,3_1,2025-12-17 22:08:04,View,2362,car & motorbike,1,1
3,3_1,2025-12-17 22:08:32,Click,2362,car & motorbike,1,1
3,3_1,2025-12-17 22:09:14,Wishlist,2416,car & motorbike,2,1
3,3_1,2025-12-17 22:10:41,Click,2416,car & motorbike,2,1
3,3_1,2025-12-17 22:11:52,View,2296,car & motorbike,1,1
3,3_2,2025-12-18 18:12:39,View,7283,"home, kitchen, pets",1,1
3,3_2,2025-12-18 18:13:19,View,2445,car & motorbike,2,1
3,3_2,2025-12-18 18:13:52,Click,2445,car & motorbike,2,1
3,3_2,2025-12-18 18:14:38,Wishlist,2391,car & motorbike,2,1
3,3_2,2025-12-18 18:15:16,Click,2391,car & motorbike,2,1
3,3_2,2025-12-18 18:16:31,View,6927,music,1,1
3,3_2,2025-12-18 18:16:49,View,2140,car & motorbike,1,1
3,3_2,2025-12-18 18:17:37,View,5702,accessories,3,1
3,3_3,2025-12-19 09:30:34,View,4159,accessories,1,1
3,3_3,2025-12-19 09:31:06,Click,4159,accessories,1,1
3,3_3,2025-12-19 09:32:07,View,5647,accessories,1,1
3,3_3,2025-12-19 09:32:52,View,5640,accessories,2,1
3,3_4,2025-12-19 17:01:41,View,1553,women's shoes,1,1
3,3_4,2025-12-19 17:02:14,View,3695,sports & fitness,1,1
3,3_4,2025-12-19 17:03:03,Wishlist,5707,accessories,1,1
3,3_4,2025-12-19 17:03:30,View,3574,accessories,1,1
3,3_5,2025-12-19 20:12:57,View,2377,car & motorbike,2,1
3,3_6,2025-12-20 15:31:17,View,3247,pet supplies,1,1
3,3_6,2025-12-20 15:31:27,AddCart,3247,pet supplies,1,1
3,3_6,2025-12-20 15:32:57,Buy,3247,pet supplies,1,1
3,3_7,2025-12-22 12:15:22,Search,3592,accessories,1,1
3,3_7,2025-12-22 12:15:50,View,6813,car & motorbike,1,1
3,3_7,2025-12-22 12:16:47,Click,2342,car & motorbike,1,1
3,3_7,2025-12-22 12:17:44,Wishlist,8813,"tv, audio & cameras",3,1
3,3_7,2025-12-22 12:18:42,View,7285,"home, kitchen, pets",1,1
3,3_7,2025-12-22 12:18:59,AddCart,7285,"home, kitchen, pets",1,1
3,3_8,2025-12-22 13:36:52,View,4222,accessories,1,1
5,5_0,2025-12-20 19:46:00,Search,6442,women's clothing,1,1
5,5_0,2025-12-20 19:47:21,View,6977,music,1,1
5,5_0,2025-12-20 19:47:51,View,6937,music,2,1
5,5_0,2025-12-20 19:48:08,Click,6937,music,2,1
5,5_1,2025-12-21 08:26:05,View,7213,appliances,2,1
5,5_1,2025-12-21 08:26:40,Click,6499,women's clothing,0,1
5,5_1,2025-12-21 08:27:35,View,6926,music,2,1
5,5_2,2025-12-21 08:27:59,View,6976,music,1,1
5,5_1,2025-12-21 08:28:28,View,6974,music,1,1
5,5_2,2025-12-21 08:28:47,View,2668,women's clothing,1,1
5,5_2,2025-12-21 08:29:39,Click,6888,music,2,1
5,5_3,2025-12-21 14:12:47,Search,6933,music,1,1
5,5_3,2025-12-21 14:13:57,Click,6933,music,1,1
5,5_3,2025-12-21 14:15:12,Wishlist,6497,women's clothing,1,1
5,5_3,2025-12-21 14:16:37,Click,6497,women's clothing,1,1
5,5_3,2025-12-21 14:17:48,Buy,6497,women's clothing,1,1
5,5_4,2025-12-22 21:52:22,Search,9744,women's clothing,1,1
5,5_4,2025-12-22 21:52:55,Search,6916,music,2,1
5,5_4,2025-12-22 21:53:30,Click,6916,music,2,1
5,5_4,2025-12-22 21:54:07,AddCart,6916,music,2,1
